at,walked,qualifiers,gross_adoptions,capped_positives,n_ok,n_legacy_case,n_owner_cap,n_language,n_not_software,n_software_floor,n_readme_lang,n_thin_history,n_thin_bibliography,n_no_history,n_thin_context,n_no_head,n_clone_failed,n_clone_timeout,n_timeout,n_error
52,52,1,2,2,1,0,0,11,1,3,0,2,17,16,0,0,0,0,1,0
100,100,5,12,10,5,0,0,21,2,8,0,5,27,30,0,0,0,0,2,0
152,152,7,18,14,7,0,0,30,3,15,0,7,39,46,0,0,0,0,5,0
200,200,9,20,16,9,0,0,40,3,19,0,7,54,60,0,0,0,0,8,0
252,252,12,25,21,12,0,0,56,6,22,0,8,65,74,0,0,0,0,9,0
300,300,13,25,21,13,0,0,70,8,30,0,8,74,88,0,0,0,0,9,0
352,352,16,46,31,16,1,0,91,8,34,0,10,82,101,0,0,0,0,9,0
400,400,18,46,31,18,1,0,103,11,38,0,10,91,118,0,0,0,0,10,0
452,452,19,46,31,19,1,0,116,13,44,0,12,102,135,0,0,0,0,10,0
500,500,27,52,37,27,1,0,126,14,50,0,14,111,147,0,0,0,0,10,0
552,552,31,59,43,31,1,0,130,15,56,0,17,124,165,0,0,0,0,13,0
600,600,32,59,43,32,1,1,142,19,64,0,17,136,175,0,0,0,0,13,0
652,652,33,59,43,33,1,1,156,19,72,0,18,145,192,0,0,0,0,15,0
700,700,34,61,45,34,1,1,174,20,74,0,22,153,205,0,0,0,0,16,0
752,752,34,61,45,34,1,1,185,23,81,0,23,163,225,0,0,0,0,16,0
800,800,34,61,45,34,1,1,195,25,90,0,25,168,243,0,0,0,0,18,0
852,852,34,61,45,34,1,1,207,28,97,0,27,180,256,0,0,0,0,21,0
900,900,34,61,45,34,1,1,215,29,103,0,28,192,275,0,0,0,0,22,0
952,952,35,62,45,35,1,1,232,30,110,0,29,205,287,0,0,0,0,22,0
1000,1000,36,62,45,36,1,1,243,35,114,0,32,216,298,0,0,0,0,24,0
1052,1052,39,66,49,39,1,1,258,36,119,0,32,233,309,0,0,0,0,24,0
1100,1100,42,68,51,42,1,1,269,38,121,0,33,239,332,0,0,0,0,24,0
1152,1152,44,69,52,44,1,1,282,40,126,0,34,251,348,0,0,0,0,25,0
1200,1200,46,79,60,46,1,1,289,42,133,0,35,263,364,0,0,0,0,26,0
1252,1252,48,81,62,48,1,1,307,42,136,0,36,280,373,0,0,0,0,27,1
1300,1300,48,81,62,48,1,1,316,44,143,0,37,289,392,0,0,0,0,28,1
1352,1352,52,83,63,52,2,1,332,45,149,0,37,296,408,0,0,0,0,29,1
1400,1400,54,83,63,54,2,2,339,46,154,0,41,306,426,0,0,0,0,29,1
1452,1452,54,83,63,54,2,2,352,47,161,0,41,316,446,0,0,0,0,30,1
1500,1500,56,83,63,56,2,2,363,47,165,0,44,328,462,0,0,0,0,30,1
1552,1552,60,124,74,60,2,2,374,48,167,0,45,339,484,0,0,0,0,30,1
1600,1600,60,124,74,60,2,2,385,53,174,0,45,349,498,0,0,0,0,31,1
1652,1652,61,124,74,61,2,2,398,53,177,0,48,357,522,0,0,0,0,31,1
1700,1700,62,125,75,62,2,2,408,55,180,0,48,370,540,0,0,0,0,32,1
1752,1752,65,129,78,65,2,2,414,56,185,0,52,383,560,0,0,0,0,32,1
1802,1802,67,129,78,67,2,2,427,59,190,0,54,391,576,0,0,0,0,32,2
1850,1850,70,136,84,70,2,2,435,63,195,0,55,400,593,0,0,0,0,33,2
1901,1901,71,137,85,71,2,2,447,65,200,0,57,410,612,0,0,0,0,33,2
1952,1952,72,140,88,72,2,2,463,66,204,0,59,421,626,0,0,0,0,35,2
2000,2000,72,140,88,72,3,2,476,68,211,0,63,426,641,0,0,0,0,36,2
2051,2051,73,140,88,73,3,2,485,69,215,0,64,444,658,0,0,0,0,36,2
2102,2102,76,144,91,76,3,2,499,70,224,0,65,454,671,0,0,0,0,36,2
2150,2150,77,145,91,77,3,3,512,72,227,0,66,465,687,0,0,0,0,36,2
2201,2201,77,145,91,77,3,3,524,75,231,0,66,476,708,0,0,0,0,36,2
2252,2252,80,163,106,80,3,3,535,76,238,0,67,490,722,0,0,0,0,36,2
2300,2300,82,163,106,82,3,3,545,80,240,0,68,501,737,0,0,0,0,39,2
2351,2351,84,163,106,84,3,3,557,83,246,0,72,512,750,0,0,0,0,39,2
2402,2402,85,190,114,85,3,3,571,88,252,0,74,523,762,0,0,0,0,39,2
2450,2450,87,190,114,87,3,3,581,90,256,0,75,534,780,0,0,0,0,39,2
2501,2501,87,190,114,87,3,4,594,92,261,0,75,544,798,0,0,0,0,41,2
2552,2552,88,193,117,88,3,5,612,94,264,0,77,556,810,0,0,0,0,41,2
2600,2600,91,193,117,91,3,5,622,96,272,0,78,563,827,0,0,0,0,41,2
2651,2651,94,199,122,94,3,5,633,97,280,0,79,574,843,0,0,0,0,41,2
2702,2702,98,199,122,98,3,5,647,100,286,0,79,584,856,0,0,0,0,42,2
2750,2750,98,199,122,98,3,5,660,105,294,0,81,593,867,0,0,0,0,42,2
2801,2801,99,199,122,99,3,5,671,107,304,0,83,598,887,0,0,0,0,42,2
2852,2852,101,204,125,101,3,5,681,107,314,0,84,607,905,0,0,0,0,43,2
2900,2900,101,204,125,101,3,5,691,108,323,0,84,623,915,0,0,0,0,45,2
2951,2951,102,204,125,102,3,6,699,111,328,0,85,634,936,0,0,0,0,45,2
3002,3002,107,216,135,107,3,6,712,112,332,0,86,649,948,0,0,0,0,45,2
3050,3050,109,216,135,109,3,6,726,112,334,0,87,663,962,0,0,0,0,46,2
3101,3101,110,216,135,110,3,6,738,117,334,0,89,676,979,0,0,0,0,47,2
3152,3152,111,216,135,111,3,6,747,121,343,0,90,689,993,0,0,0,0,47,2
3200,3200,114,216,135,114,3,6,757,122,351,0,90,697,1009,0,0,0,0,49,2
3251,3251,115,218,137,115,3,6,769,123,358,0,92,707,1026,0,0,0,0,50,2
3302,3302,119,219,138,119,3,6,784,125,365,0,94,713,1040,0,0,0,0,51,2
3350,3350,121,220,139,121,3,6,793,127,371,0,96,725,1053,0,0,0,0,53,2
3401,3401,123,220,139,123,4,6,803,129,381,0,96,736,1068,0,0,0,0,53,2
3452,3452,125,222,141,125,4,6,812,132,382,0,96,751,1089,0,0,0,0,53,2
3500,3500,128,225,144,128,4,6,824,134,391,0,96,761,1101,0,0,0,0,53,2
3551,3551,131,229,148,131,4,6,833,134,395,0,97,778,1118,0,0,0,0,53,2
3602,3602,133,229,148,133,4,6,845,137,401,0,97,790,1132,0,0,0,0,55,2
3650,3650,134,230,149,134,4,6,855,140,408,0,98,797,1150,0,0,0,0,56,2
3689,3689,135,268,157,135,4,6,862,140,415,0,99,806,1164,0,0,0,0,56,2
